,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Hausnummer,Bezirk,Ortsteil,Kaltmiete pro m²,Bezirk Abkürzung,Ortsteil Abkürzung
1180,"Ansprechende 2,5-Zimmer-Wohnung mit Einbauküche und Balkon in Kladow (Spandau), Berlin",https://www.immobilienscout24.de/expose/115633303,852.0,200.0,0.0,1052.0,2556,1 von 1,71.0,"2,5",,1.0,,True,,,,Zentralheizung,,,,,,"14089 Berlin, Kladow (Spandau) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14089 Berlin,,Kladow,Spandau,12.0,Span,Spand
1184,Fabelhafte Dachgeschosswohnung mit Aufdachterrasse und 360 Grad Blick über Berlin.,https://www.immobilienscout24.de/expose/115468686,2000.0,225.0,,2225.0,3 NKM,5 von 5,115.0,4,,1.0,True,True,,2019.0,Vollständig renoviert,Fußbodenheizung,,liegt zur Besichtigung vor,,,,"10247 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10247 Berlin,,Friedrichshain,Friedrichshain,17.391304347826086,FrKr,Frhai
1186,"Exklusive, geräumige 3-Zimmer-Wohnung mit 2 Balkonen und Einbauküche, Berlin",https://www.immobilienscout24.de/expose/113864830,1500.0,400.0,0.0,1900.0,3 Monatsmieten,,140.0,3,,2.0,True,True,1856.0,,,Zentralheizung,,laut Gesetz nicht erforderlich,,,,"10713 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10713 Berlin,,Wilmersdorf,Wilmersdorf,10.714285714285714,ChWi,Wilmd
1190,Zweitbezug nach Neubau- 2-Zimmer-Wohnung mit Balkon in Berlin-Waidmannslust,https://www.immobilienscout24.de/expose/115419382,673.0,150.0,0.0,823.0,3 Nettokaltmieten,1 von 2,48.75,2,,1.0,,,2017.0,,,,,,,,,"13469 Berlin, Waidmannslust (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13469 Berlin,,Waidmannslust,Reinickendorf,13.805128205128206,Rein,Reind
1193,TOP sanierte zwei-Zimmer Wohnung am Kottbusser-Tor,https://www.immobilienscout24.de/expose/114560811,1450.0,220.0,0.0,1670.0,3 NKM,6 von 6,78.45,2,,,True,True,1956.0,2019.0,,,,liegt vor,,,Berlin Blau,"10999 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10999 Berlin,,Kreuzberg,Kreuzberg,18.483110261312937,FrKr,Kreuz
1194,"2,5 Zimmer DG-Maisonette, Prenzl Berg, nähe Arnim-Platz - PROVISIONSFREI",https://www.immobilienscout24.de/expose/115610790,1070.0,190.0,0.0,1260.0,3 NKM,4 von 5,81.0,"2,5",,1.0,,True,,,,Zentralheizung,Erdgas leicht,liegt vor,Verbrauchsausweis,,,"10439 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10439 Berlin,,Prenzlauer Berg,Prenzlauer Berg,13.209876543209877,Pank,Prenz
1195,**TOP sanierte zwei-Zimmer Wohnung in Kreuzberg**,https://www.immobilienscout24.de/expose/114655453,1785.0,150.0,,1935.0,3 NKM,1,89.23,2,,,,True,,2019.0,Erstbezug nach Sanierung,,,liegt vor,,,Berlin Blau,"10961 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10961 Berlin,,Kreuzberg,Kreuzberg,20.004482797265492,FrKr,Kreuz
1203,Frisch sanierte 3-Zimmer-Wohnung mit Balkon in Friedrichshain Nähe Volkspark,https://www.immobilienscout24.de/expose/115516441,1400.0,250.0,0.0,1650.0,4200.-- Euro,1 von 4,87.14,3,,1.0,,,,,,,,,,,,"10249 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10249 Berlin,,Friedrichshain,Friedrichshain,16.06610052788616,FrKr,Frhai
1208,Altbauperle im Akazienkiez,https://www.immobilienscout24.de/expose/115635409,845.0,150.0,0.0,995.0,3 Nettokaltmieten,,79.16,2,,1.0,,True,1898.0,,Modernisiert,,Öl,liegt vor,Verbrauchsausweis,,,"10823 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10823 Berlin,,Schöneberg,Schöneberg,10.674583122789288,TSch,Schön
1210,Erstbezug - Wohlfühlen auf den ersten Blick in Berlin-Schmargendorf,https://www.immobilienscout24.de/expose/115390175,1765.6,300.0,0.0,2065.6,5300,3 von 5,88.28,3,,2.0,True,True,2020.0,,Erstbezug,Blockheizkraftwerke,Gas,liegt zur Besichtigung vor,,,,"14199 Berlin, Schmargendorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14199 Berlin,,Schmargendorf,Wilmersdorf,20.0,ChWi,Wilmd
1211,Provisionsfreie Neubau-4-Zimmer-Wohnung mit großem Süd-Ost-Balkon in Berlin Friedrichshain,https://www.immobilienscout24.de/expose/115497380,1580.0,350.0,0.0,1930.0,3 Kaltmieten,4 von 6,106.5,4,,2.0,True,,2019.0,,Neuwertig,Zentralheizung,,liegt vor,,,,"10247 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10247 Berlin,,Friedrichshain,Friedrichshain,14.835680751173708,FrKr,Frhai
1212,"1.500 €, 105 m², 4 Zimmer",https://www.immobilienscout24.de/expose/85940120,1500.0,150.0,0.0,1600.0,3 Kaltmieten,,105.0,4,,,,True,2016.0,2019.0,Neuwertig,Fußbodenheizung,"Solar, Gas",liegt vor,Bedarfsausweis,,,"12355 Berlin, Rudow (Neukölln) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12355 Berlin,,Rudow,Neukölln,14.285714285714286,Neuk,Neukö
1213,Erstbezug - Ruhige 2-Zimmer-Wohnung mit Sonnenterrasse und Garten,https://www.immobilienscout24.de/expose/114382996,945.0,150.0,0.0,1095.0,2835,1 von 3,60.49,2,,1.0,True,True,2019.0,,Erstbezug,Fußbodenheizung,Fernwärme,liegt vor,,,,"12524 Berlin, Altglienicke (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12524 Berlin,,Altglienicke,Alt-Treptow,15.62241692841792,TrKö,Alttr
1228,Helle Wohnung in gepflegter Wohnanlage am Spandauer Stadtwald,https://www.immobilienscout24.de/expose/115635598,350.0,100.0,0.0,450.0,3 Kaltmieten,2 von 3,48.5,"1,5",,1.0,,True,1960.0,,Gepflegt,Gas-Heizung,,liegt vor,Verbrauchsausweis,107.0,,"13587 Berlin, Spandau (Spandau) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13587 Berlin,,Spandau,Spandau,7.216494845360825,Span,Spand
1233,Wohnen am Grunewald und an der U-Bahn zum Zentrum,https://www.immobilienscout24.de/expose/108739606,660.0,110.0,60.0,830.0,1980,1 von 3,60.0,3,,1.0,,,1935.0,2011.0,Vollständig renoviert,Etagenheizung,Gas,laut Gesetz nicht erforderlich,,,,"14169 Berlin, Zehlendorf (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14169 Berlin,,Zehlendorf,Zehlendorf,11.0,StZe,Zehld
1235,Husemannstraße! Schöne 3 Zi. Altbauwohnung in Berlin !,https://www.immobilienscout24.de/expose/115267714,1600.0,,,1600.0,8700,2,94.0,3,,,,,,,,Etagenheizung,,,,,,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10435 Berlin,,Prenzlauer Berg,Prenzlauer Berg,17.02127659574468,Pank,Prenz
1237,Maisonette am Kleinen Wannsee - hier sollten Sie einziehen!!,https://www.immobilienscout24.de/expose/58020370,1450.0,380.0,0.0,1830.0,3 Monatskaltmieten,0 von 3,131.0,4,,1.0,,True,1990.0,,Vollständig renoviert,Zentralheizung,Erdgas leicht,liegt vor,Verbrauchsausweis,185.2,FURCH Wirtschaftsberatung Potsdamer Str. 44 14163 Berlin-Zehlendorf,"14109 Berlin-Wannsee, Wannsee (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14109 Berlin-Wannsee,,Wannsee,Zehlendorf,11.068702290076336,StZe,Zehld
1240,"Schöne zwei Zimmer Wohnung in Berlin, Schlachtensee",https://www.immobilienscout24.de/expose/100991939,600.0,130.0,0.0,730.0,1716.00,,52.0,2,,1.0,,True,1905.0,2012.0,Gepflegt,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,,Renate Salbach,"14129 Berlin, Zehlendorf (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14129 Berlin,,Zehlendorf,Zehlendorf,11.538461538461538,StZe,Zehld
1242,Wohnen in Pankow. 3 Zimmer in ruhiger Wohnlage.,https://www.immobilienscout24.de/expose/115550119,1400.0,260.0,0.0,1660.0,4200,1 von 4,104.0,3,1.0,2.0,True,True,2014.0,2014.0,Neuwertig,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,,"13187 Berlin, Pankow (Pankow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13187 Berlin,,Pankow,Pankow,13.461538461538462,Pank,Panko
1246,3-Zi-Whg mit grünem Panoramablick in bester Kreuzberg-Lage,https://www.immobilienscout24.de/expose/115490489,1160.0,190.0,0.0,1350.0,1500,6 von 6,70.0,3,,1.0,True,True,1959.0,2019.0,Neuwertig,Zentralheizung,Öl,liegt zur Besichtigung vor,,,,"10967 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10967 Berlin,,Kreuzberg,Kreuzberg,16.571428571428573,FrKr,Kreuz
1248,"Eleganter Jugendstil-Altbau in ruhiger Lage, Schöneberg Friedenau",https://www.immobilienscout24.de/expose/115390019,1800.0,250.0,,2050.0,4000,2 von 5,130.0,5,2.0,1.0,,True,1901.0,2017.0,Modernisiert,Etagenheizung,Gas,laut Gesetz nicht erforderlich,,,,"12157 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12157 Berlin,,Schöneberg,Schöneberg,13.846153846153847,TSch,Schön
1249,Möblierte 3 Zimmer Altbau Wohnung Prenzlauer Berg,https://www.immobilienscout24.de/expose/115421577,1700.0,200.0,0.0,1900.0,Deutschland,3 von 5,83.0,3,,1.0,True,True,1910.0,2010.0,Saniert,Zentralheizung,Fernwärme,laut Gesetz nicht erforderlich,,,,"10439 berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10439 berlin,,Prenzlauer Berg,Prenzlauer Berg,20.481927710843372,Pank,Prenz
1253,"Loft im Bötzowviertel * Absolute Ruhe,Lichtdurchflutet & Modern f. Teilgewerbe direkt von Eigentümer",https://www.immobilienscout24.de/expose/75026850,3700.0,513.0,0.0,4213.0,6000,3 von 3,180.0,4,3.0,2.0,,True,1900.0,2012.0,Modernisiert,Zentralheizung,Gas,liegt zur Besichtigung vor,,,,"10405 berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10405 berlin,,Prenzlauer Berg,Prenzlauer Berg,20.555555555555557,Pank,Prenz
1259,"Schöne, geräumige drei Zimmer Wohnung in Berlin, Friedenau (Schöneberg)",https://www.immobilienscout24.de/expose/115489010,1100.0,230.0,0.0,1330.0,3300,2 von 3,95.0,3,,1.0,,True,1910.0,2020.0,Vollständig renoviert,Zentralheizung,Gas,liegt vor,,,,"12161 Berlin, Friedenau (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12161 Berlin,,Friedenau,Schöneberg,11.578947368421053,TSch,Schön
1263,"Stilvolle, vollständig renovierte 2-Zimmer-Wohnung mit Balkon und EBK in Berlin-Friedenau",https://www.immobilienscout24.de/expose/115488331,645.0,140.0,0.0,785.0,1935,3 von 5,53.0,2,,1.0,,True,1906.0,2020.0,Vollständig renoviert,Öl-Heizung,Öl,liegt zur Besichtigung vor,,,,"12161 Berlin-Friedenau, Friedenau (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12161 Berlin-Friedenau,,Friedenau,Schöneberg,12.169811320754716,TSch,Schön
1264,"Schöne, geräumige Dachgeschosswohnung in ruhiger Lage in Berlin, Köpenick",https://www.immobilienscout24.de/expose/115488636,620.0,200.0,0.0,820.0,1800,,63.29,2,,1.0,,,2006.0,,Gepflegt,Gas-Heizung,Gas,liegt vor,Verbrauchsausweis,,,"12557 Berlin, Köpenick (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12557 Berlin,,Köpenick,Köpenick,9.796176331173962,TrKö,Köpen
1275,Luxuriöse Dachgeschosswohnung mit Blick auf den Volkspark Friedrichshain,https://www.immobilienscout24.de/expose/113927436,3200.0,,0.0,3200.0,3 Monatsmieten,4 von 4,125.41,3,2.0,2.0,True,True,1900.0,2012.0,Erstbezug nach Sanierung,Zentralheizung,Fernwärme,laut Gesetz nicht erforderlich,,,Farmers Land Holding GmbH An der Pönt 48 40885 Ratingen,"10249 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10249 Berlin,,Friedrichshain,Friedrichshain,25.516306514632006,FrKr,Frhai
1277,Exklusiv möbliertes Penthouse - Süd - Terrasse- Erstbezug!,https://www.immobilienscout24.de/expose/103715135,1600.0,200.0,0.0,1800.0,3 NKM,6 von 6,60.0,2,1.0,1.0,True,True,2019.0,2019.0,Erstbezug,Zentralheizung,,liegt vor,Verbrauchsausweis,,Rochberg Immobilien - Anna Rochberg Emser Str. 5 10719 Berlin,"10707 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10707 Berlin,,Wilmersdorf,Wilmersdorf,26.666666666666668,ChWi,Wilmd
1283,"2-Zimmer-EG-Wohnung mit Einbauküche in Adlershof (Treptow), Berlin",https://www.immobilienscout24.de/expose/115579370,715.0,100.0,90.0,905.0,3 NKM,,76.0,2,,1.0,,True,,,,Zentralheizung,,,,,,"12489 Berlin, Adlershof (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12489 Berlin,,Adlershof,Alt-Treptow,9.407894736842104,TrKö,Alttr
1285,Erstbezug: exklusive 3-Zimmer-Wohnung mit EBK und Süd-Balkon in Schmargendorf,https://www.immobilienscout24.de/expose/115593564,1350.0,310.0,0.0,1660.0,4050,4 von 7,90.0,3,,1.0,True,True,2020.0,,Erstbezug,Fußbodenheizung,Fernwärme,liegt vor,,,,"14199 Berlin-Schmargendorf, Schmargendorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14199 Berlin-Schmargendorf,,Schmargendorf,Wilmersdorf,15.0,ChWi,Wilmd
1287,"3 Zimmer Wohnung, Terrasse, kl. Garten und Wasserblick",https://www.immobilienscout24.de/expose/114946874,1066.0,240.0,0.0,1306.0,3 MM,0 von 0,82.0,3,,1.0,True,True,1997.0,2019.0,Erstbezug nach Sanierung,Zentralheizung,Fernwärme,liegt zur Besichtigung vor,,,,"12557 Berlin, Köpenick (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12557 Berlin,,Köpenick,Köpenick,13.0,TrKö,Köpen
1288,"Schöne, gepflegte 6-Zimmer-Maisonette-Wohnung mit hochwertiger Innenausstattung in Berlin-Dahlem",https://www.immobilienscout24.de/expose/115216568,2200.0,450.0,0.0,2650.0,2 Monatsmieten,,196.74,6,,2.0,,,1990.0,,Gepflegt,Fußbodenheizung,Öl,liegt vor,Verbrauchsausweis,181.8,,"14195 Berlin-Dahlem, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin-Dahlem,,Dahlem,Zehlendorf,11.182271017586663,StZe,Zehld
1293,"950 €, 105 m², 2 Room(s)",https://www.immobilienscout24.de/expose/114498229,950.0,100.0,150.0,950.0,2000,2 von 5,105.0,2,2.0,1.0,True,True,,,Modernisiert,Zentralheizung,,,,,,"10115 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10115 Berlin,,Mitte,Mitte,9.047619047619047,Mitt,Mitte
1315,2-Zimmer-EG-Wohnung mit Einbauküche in Adlershof,https://www.immobilienscout24.de/expose/115641770,715.0,100.0,90.0,905.0,3 NKM,,76.0,2,,1.0,,True,,,,Zentralheizung,,,,,,"12489 Berlin, Adlershof (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12489 Berlin,,Adlershof,Alt-Treptow,9.407894736842104,TrKö,Alttr
1318,"Altbauwohnung mit Stuckdecken/Parkett, teilmöbliert, langfristig zu vermieten",https://www.immobilienscout24.de/expose/86185974,2390.0,300.0,0.0,2690.0,1710.00,1 von 6,160.0,5,,2.0,True,True,1914.0,2005.0,Saniert,Fernwärme,Fernwärme,,,,,"12203 Berlin, Lichterfelde (Steglitz) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12203 Berlin,,Lichterfelde,Steglitz,14.9375,StZe,Stegl
1324,"Garten- Wohnung, Neubau, grüner Innenhof - Gesundbrunnen",https://www.immobilienscout24.de/expose/105036352,1250.0,150.0,100.0,1500.0,3750,1 von 3,110.0,"2,5",,1.0,,,2017.0,2018.0,Erstbezug,Gas-Heizung,Gas,liegt vor,,,,"13357 Berlin Wedding, Wedding (Wedding) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13357 Berlin Wedding,,Wedding,Wedding,11.363636363636363,Mitt,Weddg
1344,"LOFT Klassiker ab April zu vermieten, Nähe Potsdamer Platz",https://www.immobilienscout24.de/expose/115638777,4875.0,3.0,,4875.0,3 MM,1,195.0,3,1.0,2.0,True,,2010.0,,Vollständig renoviert,Etagenheizung,Erdgas leicht,,,,Loft & more GmbH Strelitzer Str. 70 10115 Berlin,"10963 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10963 Berlin,,Kreuzberg,Kreuzberg,25.0,FrKr,Kreuz
1352,* schöne 3-Zimmer Whg. mit EBK - nur 3-5 min zum Potsdamer Platz*,https://www.immobilienscout24.de/expose/115633851,795.0,130.0,90.0,1015.0,2385.00,0 von 5,73.0,3,3.0,1.0,,True,1989.0,2014.0,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,176.0,B-Immobilienwerke GmbH Eschenstr. 2 85737 Ismaning,"10963 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10963 Berlin,,Kreuzberg,Kreuzberg,10.89041095890411,FrKr,Kreuz
1354,Friedenau / Cranachstr. - helles 3. OG in gepflegtem ruhigem Stuckaltbau mit Grünblick,https://www.immobilienscout24.de/expose/115634727,1105.95,105.0,75.0,1285.95,3 Nettokaltmieten,3 von 4,94.95,3,,1.0,,True,1907.0,,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,116.0,,"12157 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12157 Berlin,,Schöneberg,Schöneberg,11.647709320695103,TSch,Schön
1360,RUHIGE SEITENSTRAßE - Pankow - gepflegte Wohnlage !,https://www.immobilienscout24.de/expose/115635167,599.27,184.07,0.0,783.34,drei Kaltmieten,3,64.23,2,1.0,1.0,True,,1997.0,,Gepflegt,Fußbodenheizung,Fernwärme,liegt vor,Verbrauchsausweis,,ZANDER Immobilien e.K. Bornstedter Straße 8 10711 Berlin,"13189 Berlin, Pankow (Pankow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13189 Berlin,,Pankow,Pankow,9.330063833099796,Pank,Panko
1368,Lichtenrader Damm - Arbeiten & Wohnen-2020,https://www.immobilienscout24.de/expose/115636658,1415.0,300.0,0.0,1715.0,drei Kaltmieten,,117.0,6,4.0,1.0,,True,1973.0,,Renovierungsbedürftig,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,ZANDER Immobilien e.K. Bornstedter Strasse 8 10711 Berlin,"12305 Berlin, Lichtenrade (Tempelhof) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12305 Berlin,,Lichtenrade,Tempelhof,12.094017094017094,TSch,Temp
1382,"!!Leben und Lieben im Kiez!! Helle 2 Zimmer mit Aufzug, Laminat & großem Wohnbereich, Tageslichtbad",https://www.immobilienscout24.de/expose/115632581,700.0,220.0,0.0,920.0,2100.00,4 von 6,75.0,2,1.0,1.0,True,,1930.0,2000.0,Renovierungsbedürftig,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,WERTGRUND IMMOBILIEN Verwaltungs GMBH Else-Lasker-Schüler-Straße 22 10783 Berlin,"10247 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10247 Berlin,,Friedrichshain,Friedrichshain,9.333333333333334,FrKr,Frhai
1429,"Nähe HTW, Nähe Spree Schöne 1-Zimmer-Wohnung mit EBK in Oberschöneweide (Köpenick), Berlin",https://www.immobilienscout24.de/expose/115627482,433.5,103.0,0.0,536.5,1734,3 von 3,47.24,1,,1.0,,True,,,,,,,,,,"12459 Berlin, Oberschöneweide (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12459 Berlin,,Oberschöneweide,Köpenick,9.176545300592718,TrKö,Köpen
1440,Charmante Etagenwohnung unmittelbar an der Schloßstraße in Steglitz *EBK*Tiefgaragenstellplatz*,https://www.immobilienscout24.de/expose/115622152,1200.0,299.0,0.0,1499.0,3 Netto Kaltmieten,3 von 6,122.02,4,2.0,2.0,True,True,1900.0,,Vollständig renoviert,Zentralheizung,Gas,liegt vor,,,Markgrafen Quartier Hausverwaltung GmbH,"12163 Berlin, Steglitz (Steglitz) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12163 Berlin,,Steglitz,Steglitz,9.834453368300279,StZe,Stegl
1456,Schlüterstraße - Großzügiger Berliner Altbau - WIRD NEU SANIERT-- WOHNEN UND ARBEITEN -,https://www.immobilienscout24.de/expose/115616111,2240.0,330.0,0.0,2570.0,drei Netto-Kaltmieten,2 von 5,140.0,3,2.0,1.0,,True,1900.0,,Erstbezug nach Sanierung,Zentralheizung,KWK fossil,liegt vor,Bedarfsausweis,,ZANDER Immobilien e.K. Bornstedter Strasse 8 10711 Berlin,"10625 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10625 Berlin,,Charlottenburg,Charlottenburg,16.0,ChWi,Charl
1462,attraktives Dachgeschoss nahe Schloßstraße - PARKETT *** KAMIN *** TERRASSE,https://www.immobilienscout24.de/expose/115616807,1360.0,136.0,70.0,1496.0,4080,4 von 4,68.0,2,1.0,1.0,True,True,2017.0,2017.0,Neuwertig,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,119.0,BRH Berlin Residential Investment GmbH Kurfürstendamm 96 10709 Berlin,"12163 Berlin, Steglitz (Steglitz) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12163 Berlin,,Steglitz,Steglitz,20.0,StZe,Stegl
1465,Moderne Altbauwohnung mit großem Sonnenbalkon,https://www.immobilienscout24.de/expose/115617308,944.94,124.61,88.26,1157.81,3 Nettomieten,3 von 4,104.0,3,2.0,1.0,,,,2014.0,,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,ma-rk Bau- und Grundbesitzmanagement GmbH Berliner Allee 36 13088 Berlin,"12439 Berlin, Niederschöneweide (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12439 Berlin,,Niederschöneweide,Alt-Treptow,9.08596153846154,TrKö,Alttr
1476,"Schöne 3-Zimmer-Wohnung mit EBK und Balkon in Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/115613869,1200.0,,,1200.0,Kaution: 1741.00,3 von 5,115.0,3,,1.0,,True,,,,,,,,,,"10587 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10587 Berlin,,Charlottenburg,Charlottenburg,10.434782608695652,ChWi,Charl
1482,"Sonnige, perfekt geschnittene 5-Zimmer Familien-Wohnung mit Penthouse Flair",https://www.immobilienscout24.de/expose/115614800,2786.39,513.61,0.0,3300.0,8359.17,4 von 5,177.0,6,3.0,2.0,True,True,2014.0,,Erstbezug,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,BIR Berlin International Realty GmbH Kurfürstendamm 52 10707 Berlin,"10317 Berlin, Lichtenberg (Lichtenberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10317 Berlin,,Lichtenberg,Lichtenberg,15.742316384180791,Lich,Liber
1489,RUHIGE SEITENSTRAßE - Pankow - NUR MIT WBS - WOHNBERECHTIGUNGSSCHEIN !,https://www.immobilienscout24.de/expose/115612605,599.27,184.07,0.0,783.34,drei Kaltmieten,3,64.23,2,1.0,1.0,True,,1997.0,,Gepflegt,Fußbodenheizung,Fernwärme,liegt vor,Verbrauchsausweis,,ZANDER Immobilien e.K. Bornstedter Strasse 8 10711 Berlin,"13189 Berlin, Pankow (Pankow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13189 Berlin,,Pankow,Pankow,9.330063833099796,Pank,Panko
1501,"Adlershof: Adlergestell 137: 2-Zi-Wohnung per SOFORT, Besicht.: Freitag, 07.02.2020 um 16:00 Uhr",https://www.immobilienscout24.de/expose/115611798,336.0,165.0,0.0,501.0,1008.00,,45.4,2,1.0,1.0,,,,,,Zentralheizung,,,,,Lion Immobilien GmbH Xantener Straße 1 10707 Berlin,"12439 Berlin Adlershof, Niederschöneweide (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12439 Berlin Adlershof,,Niederschöneweide,Alt-Treptow,7.400881057268723,TrKö,Alttr
1503,WOHNEN IM GRÜNEN ! RUHIGE SEITENSTRAßE & ARBEITEN & WOHNEN,https://www.immobilienscout24.de/expose/115611796,870.0,131.0,100.0,1101.0,drei Kaltmieten,1 von 3,82.51,3,2.0,1.0,True,True,1993.0,,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,ZANDER Immobilien e.K. Bornstedter Strasse 8 10711 Berlin,"13465 Berlin, Frohnau (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13465 Berlin,,Frohnau,Reinickendorf,10.544176463458975,Rein,Reind
1507,*Komplett-Sanierte 2-Zimmerwohnung mit Balkon und Einbauküche*,https://www.immobilienscout24.de/expose/115612189,1292.0,221.0,0.0,1513.0,3 Netto Kaltmieten,4 von 5,76.0,2,1.0,1.0,True,True,1900.0,,Gepflegt,Zentralheizung,Gas,liegt vor,,,Markgrafen Quartier Hausverwaltung GmbH,"10171 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10171 Berlin,,Wilmersdorf,Wilmersdorf,17.0,ChWi,Wilmd
