,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Hausnummer,Bezirk,Ortsteil,Kaltmiete pro m²,Bezirk Abkürzung,Ortsteil Abkürzung
96,"Attraktive 3-Zimmer-Wohnung Neukölln, Berlin/ BESICHTIGUNGSTERMIN 03.03.2020",https://www.immobilienscout24.de/expose/115620567,800.0,120.0,50.0,920.0,2840,4 von 4,65.0,3,,1.0,True,,1996.0,,,,,,,,,"12051 Berlin, Neukölln (Neukölln) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12051 Berlin,,Neukölln,Neukölln,12.307692307692308,Neuk,Neukö
99,Altbauwohnung im Szenekiez - modern - schönes Bad - Top Einbauküche,https://www.immobilienscout24.de/expose/113870768,1400.0,100.0,0.0,1575.0,4200,1 von 5,76.0,2,1.0,1.0,,True,1900.0,2020.0,Erstbezug,Fernwärme,Fernwärme,liegt zur Besichtigung vor,,,,"10967 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10967 Berlin,,Kreuzberg,Kreuzberg,18.42105263157895,FrKr,Kreuz
102,"Sanierte 3- Zimmerwohnung im Grünen, nahe S-Bahnhof Frohnau",https://www.immobilienscout24.de/expose/115135299,1030.0,350.0,,1380.0,Deutschland,1 von 2,105.0,3,,,,,1965.0,,Saniert,Öl-Heizung,,liegt zur Besichtigung vor,,,IVM Group 13465 Berlin,"13465 Berlin, Frohnau (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13465 Berlin,,Frohnau,Reinickendorf,9.80952380952381,Rein,Reind
106,Wohnen im schönen Stuckaltbau im ruhigen Innenhof,https://www.immobilienscout24.de/expose/113994556,812.5,,,812.5,75000,,65.0,2,1.0,1.0,,True,1900.0,,Modernisiert,Gas-Heizung,,,,,Premium Property UG,"12587 Berlin, Friedrichshagen (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12587 Berlin,,Friedrichshagen,Köpenick,12.5,TrKö,Köpen
113,"Lichtdurchflutete Traumwohnung mit Blick zum Fernsehturm, Aufdachterrasse und offener Kamin",https://www.immobilienscout24.de/expose/115423791,3100.0,200.0,100.0,3400.0,3 Monatsmieten,5 von 5,150.0,3,2.0,2.0,True,True,2020.0,,Erstbezug,Fußbodenheizung,Gas,,,,Hunz & Müller Immobilien GmbH & Co. KG Dieffenbachstr. 68 10967 Berlin,"10437 Berlin Prenzlauer Berg, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10437 Berlin Prenzlauer Berg,,Prenzlauer Berg,Prenzlauer Berg,20.666666666666668,Pank,Prenz
120,Clusterwohnung in Berlin - Weißensee,https://www.immobilienscout24.de/expose/115588858,700.0,200.0,0.0,900.0,31000,3 von 5,65.0,2,,4.0,True,,2020.0,2020.0,Erstbezug nach Sanierung,Blockheizkraftwerke,"Erdwärme, KWK fossil",,,,,"13088 Berlin, Weißensee (Weißensee) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13088 Berlin,,Weißensee,Weißensee,10.76923076923077,Pank,Weißs
125,"Exuisite vollmöblierte drei Zimmer Wohnung in Berlin, Kladow (Spandau)",https://www.immobilienscout24.de/expose/115012784,1250.0,200.0,0.0,1450.0,990.00,1 von 1,70.0,3,,1.0,,True,,2019.0,Erstbezug nach Sanierung,Etagenheizung,Gas,liegt zur Besichtigung vor,,,,"14089 Berlin, Kladow (Spandau) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14089 Berlin,,Kladow,Spandau,17.857142857142858,Span,Spand
127,3-Zimmerwohnung mit Balkon im 2. Obergeschoss am Hindenburgdamm,https://www.immobilienscout24.de/expose/115511247,946.0,150.0,,1096.0,2839.00,2 von 4,86.0,3,3.0,1.0,,,1906.0,,,Etagenheizung,Gas,,,,I.D. FondsConcept GmbH,"12203 Berlin-Steglitz, Lichterfelde (Steglitz) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12203 Berlin-Steglitz,,Lichterfelde,Steglitz,11.0,StZe,Stegl
128,sehr schöne 4-zi-maisonette-loft-garten-whg mit großer terrasse u. EBK,https://www.immobilienscout24.de/expose/114294909,4680.0,720.0,0.0,5400.0,14040.00,1 von 5,225.0,4,2.0,2.0,,True,1918.0,2019.0,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10435 Berlin,,Prenzlauer Berg,Prenzlauer Berg,20.8,Pank,Prenz
131,Bergmannkiez/Kreuzberg: Tolle Altbauwohnung - modern und chic - Hell - Loftcharakter - Einbauküche,https://www.immobilienscout24.de/expose/111004620,1380.0,170.0,0.0,1550.0,4140,1 von 5,80.0,2,1.0,1.0,,True,1900.0,2020.0,Neuwertig,Zentralheizung,Gas,liegt zur Besichtigung vor,,,,"10961 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10961 Berlin,,Kreuzberg,Kreuzberg,17.25,FrKr,Kreuz
