,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Kiez,Hausnummer,Ortsteil,Kaltmiete pro m²,straße,bezirk,gebietsstand,hausnummer,buchstabe,wohnlage_einstufung,lage_im_stadtgebiet,ortsteil
20,Ihr urbaner Ruhepol in Berlin-Pankow: 4 Zimmer im DG mit zwei Bädern und Terrasse,https://www.immobilienscout24.de/expose/115546563,1520.0,325.0,0.0,1845.0,4560,3 von 3,107.36,4,3.0,2.0,,True,2019.0,,,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nesselweg 17, 13158 Berlin, Rosenthal (Pankow)",Nesselweg,13158 Berlin,Rosenthal (Pankow),17,Pankow,14.157973174366617,Nesselweg,Pank,O,17,F,mittel,D,Pankow
21,"880 €, 58 m², 2 Zimmer",https://www.immobilienscout24.de/expose/114543736,880.0,0.0,0.0,880.0,1500,1 von 5,58.0,2,1.0,1.0,True,True,1972.0,2020.0,Erstbezug nach Sanierung,Zentralheizung,Öl,liegt vor,Bedarfsausweis,,,"Falkenhagener Straße 32, 13585 Berlin, Spandau (Spandau)",Falkenhagener Straße,13585 Berlin,Spandau (Spandau),32,Spandau,15.172413793103448,Falkenhagener Straße,Span,W,32,F,einfach,D,Spandau
22,"Erstbezug mit Balkon: schöne 4-Zimmer-Wohnung in Friedrichsfelde (Lichtenberg), Berlin",https://www.immobilienscout24.de/expose/109964075,1298.0,300.0,,1598.0,2600.00,2 von 4,118.0,4,,2.0,True,,2016.0,,Erstbezug,Fußbodenheizung,Fernwärme,liegt vor,,,,"Allee der Kosmonauten 17, 10315 Berlin, Friedrichsfelde (Lichtenberg)",Allee der Kosmonauten,10315 Berlin,Friedrichsfelde (Lichtenberg),17,Lichtenberg,11.0,Allee der Kosmonauten,Lich,O,17,F,mittel,D,Lichtenberg
23,"Neubauwohnung mit 2,5 Zimmern und 2 Dachterrassen",https://www.immobilienscout24.de/expose/115310240,1430.0,220.0,0.0,1650.0,3 Netto-Kaltmieten,5 von 5,83.5,"2,5",2.0,1.0,True,True,2019.0,,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,LUCOL Immobilien GmbH Elisabethstraße 11 80796 München,"Binzstraße 42, 13189 Berlin, Pankow (Pankow)",Binzstraße,13189 Berlin,Pankow (Pankow),42,Pankow,17.12574850299401,Binzstraße,Pank,O,42,F,mittel,D,Pankow
24,Einzigartiges Ambiente! Traumwohnung in Berlin-Mitte gesucht?,https://www.immobilienscout24.de/expose/115542049,2520.0,360.0,0.0,2880.0,7560,2,119.35,3,,,,,,,Modernisiert,,,,,,Nudelmann & Friends Immobilien GmbH Kurfürstendamm 133 10711 Berlin,"Linienstraße 221, 10119 Berlin, Mitte (Mitte)",Linienstraße,10119 Berlin,Mitte (Mitte),221,Mitte,21.114369501466278,Linienstraße,Mitt,O,221,F,gut,Z,Mitte
25,"Schöne, helle Neubauwohnung mit Parkett und Südbalkon",https://www.immobilienscout24.de/expose/115546391,930.0,195.0,0.0,1125.0,2790,4 von 5,55.0,2,1.0,1.0,True,True,,,,,,,,,Home HT GmbH,"Lückstraße 27, 10317 Berlin, Lichtenberg (Lichtenberg)",Lückstraße,10317 Berlin,Lichtenberg (Lichtenberg),27,Lichtenberg,16.90909090909091,Lückstraße,Lich,O,27,F,mittel *,D,Lichtenberg
26,Brandneue 2-Zimmer-Wohnung mit Einbauküche in Lichtenhain,https://www.immobilienscout24.de/expose/115620562,1341.0,158.0,0.0,1499.0,4023,2 von 5,54.61,2,1.0,1.0,True,True,2019.0,,,,,,,,Urban Ground GmbH Rheinsberger Str. 76/77 10115 Berlin,"Lückstraße 27, 10317 Berlin, Lichtenberg (Lichtenberg)",Lückstraße,10317 Berlin,Lichtenberg (Lichtenberg),27,Lichtenberg,24.555942135140086,Lückstraße,Lich,O,27,F,mittel *,D,Lichtenberg
27,3 Zimmer Dachgeschosswohnung in Spandau mit Südost Balkon!,https://www.immobilienscout24.de/expose/115522468,655.0,125.0,66.0,846.0,Drei Nettokaltmieten,5 von 5,72.0,3,,,,True,1995.0,,,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,,Schön & Sever Vertriebs GmbH Bundesallee 89 12161 Berlin,"Seeburger Straße 83 a, 13581 Berlin, Spandau (Spandau)",Seeburger Straße,13581 Berlin,Spandau (Spandau),83,Spandau,9.097222222222221,Seeburger Straße,Span,W,83,F,einfach *,Z,Spandau
28,Erstbezug! Moderne 3-Zimmer-Wohnung mit Loggia und Balkon,https://www.immobilienscout24.de/expose/115203711,980.0,245.0,0.0,1225.0,2940.00,,80.08,3,2.0,1.0,True,True,2019.0,,,Fußbodenheizung,,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 76, 13127 Berlin, Französisch Buchholz (Pankow)",Nantesstraße,13127 Berlin,Französisch Buchholz (Pankow),76,Pankow,12.237762237762238,Nantesstraße,Pank,O,76,U,mittel,D,Pankow
29,Erstbezug! Moderne 3-Zimmer-Wohnung mit Loggia und Balkon,https://www.immobilienscout24.de/expose/115203711,980.0,245.0,0.0,1225.0,2940.00,,80.08,3,2.0,1.0,True,True,2019.0,,,Fußbodenheizung,,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 76, 13127 Berlin, Französisch Buchholz (Pankow)",Nantesstraße,13127 Berlin,Französisch Buchholz (Pankow),76,Pankow,12.237762237762238,Nantesstraße,Pank,O,76,G,mittel,D,Pankow
