,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Kiez,Hausnummer,Ortsteil,Kaltmiete pro m²,straße,bezirk,gebietsstand,hausnummer,buchstabe,wohnlage_einstufung,lage_im_stadtgebiet,ortsteil
226,"HOMESK - Dachgeschoss-Maisonettewohnung, Altbau in Mitte, 206m², 3 Terrassen und Sauna",https://www.immobilienscout24.de/expose/115580210,3408.08,310.0,255.0,3973.08,3 Nettokaltmieten,3 von 4,206.55,2,1.0,3.0,,True,1831.0,2017.0,Neuwertig,Fußbodenheizung,Gas,laut Gesetz nicht erforderlich,,,Homesk GmbH Mittenwalder Straße 29 10961 Berlin,"Max-Beer-Straße 29, 10119 Berlin, Mitte (Mitte)",Max-Beer-Straße,10119 Berlin,Mitte (Mitte),29,Mitte,16.500024207213748,Max-Beer-Straße,Mitt,O,29,G,gut,Z,Mitte
227,"HOMESK - Dachgeschoss-Maisonettewohnung, Altbau in Mitte, 206m², 3 Terrassen und Sauna",https://www.immobilienscout24.de/expose/115474750,3408.08,310.0,255.0,3973.08,3 Nettokaltmieten,3 von 4,206.55,2,1.0,3.0,,True,1831.0,2017.0,Neuwertig,Fußbodenheizung,Gas,laut Gesetz nicht erforderlich,,,Homesk GmbH Mittenwalder Straße 29 10961 Berlin,"Max-Beer-Straße 29, 10119 Berlin, Mitte (Mitte)",Max-Beer-Straße,10119 Berlin,Mitte (Mitte),29,Mitte,16.500024207213748,Max-Beer-Straße,Mitt,O,29,U,gut,Z,Mitte
228,"HOMESK - Dachgeschoss-Maisonettewohnung, Altbau in Mitte, 206m², 3 Terrassen und Sauna",https://www.immobilienscout24.de/expose/115474750,3408.08,310.0,255.0,3973.08,3 Nettokaltmieten,3 von 4,206.55,2,1.0,3.0,,True,1831.0,2017.0,Neuwertig,Fußbodenheizung,Gas,laut Gesetz nicht erforderlich,,,Homesk GmbH Mittenwalder Straße 29 10961 Berlin,"Max-Beer-Straße 29, 10119 Berlin, Mitte (Mitte)",Max-Beer-Straße,10119 Berlin,Mitte (Mitte),29,Mitte,16.500024207213748,Max-Beer-Straße,Mitt,O,29,G,gut,Z,Mitte
229,"Alles neu, alles schick - Parkett, geflieste Küche, EBK.",https://www.immobilienscout24.de/expose/115581765,528.88,161.88,0.0,690.76,Kaution: 1406.00,2,45.42,2,,,,True,1938.0,,Saniert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Parkaue 18, 10367 Berlin, Lichtenberg (Lichtenberg)",Parkaue,10367 Berlin,Lichtenberg (Lichtenberg),18,Lichtenberg,11.644209599295465,Parkaue,Lich,O,18,G,mittel,Z,Lichtenberg
230,Wir modernisieren für Sie!,https://www.immobilienscout24.de/expose/115576009,520.68,151.65,0.0,672.33,Kaution: 1562.00,0,46.42,2,,,,True,1930.0,,Saniert,Fernwärme,Fernwärme,,Verbrauchsausweis,122.6,Deutsche Wohnen Gruppe,"Schottstraße 30, 10365 Berlin, Lichtenberg (Lichtenberg)",Schottstraße,10365 Berlin,Lichtenberg (Lichtenberg),30,Lichtenberg,11.216716932356741,Schottstraße,Lich,O,30,G,mittel,Z,Lichtenberg
231,Wunderschöne Dachgeschosswohnung in Heiligensee,https://www.immobilienscout24.de/expose/115582208,750.0,150.0,90.0,990.0,2250.00,3 von 3,75.0,2,1.0,1.0,,,1996.0,,Gepflegt,Zentralheizung,Erdgas leicht,liegt vor,Bedarfsausweis,,HDS Hausdienst GmbH Schönhauser Allee 118 10437 Berlin,"Wildganssteig 59, 13503 Berlin, Heiligensee (Reinickendorf)",Wildganssteig,13503 Berlin,Heiligensee (Reinickendorf),59,Reinickendorf,10.0,Wildganssteig,Rein,W,59,U,mittel,D,Reinickendorf
232,Wunderschöne Dachgeschosswohnung in Heiligensee,https://www.immobilienscout24.de/expose/115582208,750.0,150.0,90.0,990.0,2250.00,3 von 3,75.0,2,1.0,1.0,,,1996.0,,Gepflegt,Zentralheizung,Erdgas leicht,liegt vor,Bedarfsausweis,,HDS Hausdienst GmbH Schönhauser Allee 118 10437 Berlin,"Wildganssteig 59, 13503 Berlin, Heiligensee (Reinickendorf)",Wildganssteig,13503 Berlin,Heiligensee (Reinickendorf),59,Reinickendorf,10.0,Wildganssteig,Rein,W,59,G,mittel,D,Reinickendorf
233,Große Familienwohnung im Dachgeschoss! Mit Terrasse!,https://www.immobilienscout24.de/expose/115570210,999.0,254.0,0.0,1253.0,Kaution: 2997.00,,91.33,4,,,,,1996.0,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Arnouxstraße 41, 13127 Berlin, Französisch Buchholz (Pankow)",Arnouxstraße,13127 Berlin,Französisch Buchholz (Pankow),41,Pankow,10.938355414431184,Arnouxstraße,Pank,O,41,G,mittel,D,Pankow
234,Große Familienwohnung im Dachgeschoss! Mit Terrasse!,https://www.immobilienscout24.de/expose/115570210,999.0,254.0,0.0,1253.0,Kaution: 2997.00,,91.33,4,,,,,1996.0,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Arnouxstraße 41, 13127 Berlin, Französisch Buchholz (Pankow)",Arnouxstraße,13127 Berlin,Französisch Buchholz (Pankow),41,Pankow,10.938355414431184,Arnouxstraße,Pank,O,41,U,mittel,D,Pankow
235,"Geräumige, helle Pärchenwohnung mit Balkon und Aufzug!",https://www.immobilienscout24.de/expose/115570216,669.0,230.5,0.0,899.5,Kaution: 2007.00,5,66.68,2,,,True,True,1992.0,,Modernisiert,Zentralheizung,Gas,,Verbrauchsausweis,113.0,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Antonienstraße 48, 13403 Berlin, Reinickendorf (Reinickendorf)",Antonienstraße,13403 Berlin,Reinickendorf (Reinickendorf),48,Reinickendorf,10.032993401319734,Antonienstraße,Rein,W,48,F,einfach,D,Reinickendorf
236,Großes Familiennest mit großem Balkon! Die Wohnung wird noch schick!,https://www.immobilienscout24.de/expose/115570215,949.0,191.0,0.0,1140.0,Kaution: 2847.00,1,75.09,3,,,,,1995.0,,Gepflegt,Zentralheizung,Gas,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Bernauer Straße 104, 13507 Berlin, Tegel (Reinickendorf)",Bernauer Straße,13507 Berlin,Tegel (Reinickendorf),104,Reinickendorf,12.63816753229458,Bernauer Straße,Rein,W,104,U,mittel*,D,Reinickendorf
237,Großes Familiennest mit großem Balkon! Die Wohnung wird noch schick!,https://www.immobilienscout24.de/expose/115570215,949.0,191.0,0.0,1140.0,Kaution: 2847.00,1,75.09,3,,,,,1995.0,,Gepflegt,Zentralheizung,Gas,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Bernauer Straße 104, 13507 Berlin, Tegel (Reinickendorf)",Bernauer Straße,13507 Berlin,Tegel (Reinickendorf),104,Reinickendorf,12.63816753229458,Bernauer Straße,Rein,W,104,G,mittel,D,Reinickendorf
238,Neu renovierte 1 Zimmer SENIORENWOHNUNG mit Balkon,https://www.immobilienscout24.de/expose/115573995,291.0,80.0,0.0,451.0,873,3 von 12,36.8,1,1.0,1.0,True,,1973.0,2018.0,Vollständig renoviert,Nachtspeicheröfen,Strom,liegt vor,Verbrauchsausweis,136.0,Ypsilon-Liegenschafts-Verwaltungs GmbH Loschwitzer Weg 13 13593 Berlin,"Pillnitzer Weg 21, 13593 Berlin, Staaken (Spandau)",Pillnitzer Weg,13593 Berlin,Staaken (Spandau),21,Spandau,7.907608695652175,Pillnitzer Weg,Span,W,21,G,einfach,D,Spandau
239,Neu renovierte 1 Zimmer SENIORENWOHNUNG mit Balkon,https://www.immobilienscout24.de/expose/115573995,291.0,80.0,0.0,451.0,873,3 von 12,36.8,1,1.0,1.0,True,,1973.0,2018.0,Vollständig renoviert,Nachtspeicheröfen,Strom,liegt vor,Verbrauchsausweis,136.0,Ypsilon-Liegenschafts-Verwaltungs GmbH Loschwitzer Weg 13 13593 Berlin,"Pillnitzer Weg 21, 13593 Berlin, Staaken (Spandau)",Pillnitzer Weg,13593 Berlin,Staaken (Spandau),21,Spandau,7.907608695652175,Pillnitzer Weg,Span,W,21,U,einfach,D,Spandau
240,Perfekt für Singles! Attraktive 1-Zimmer-Wohnung mit Balkon!,https://www.immobilienscout24.de/expose/115573592,371.75,87.0,55.0,513.75,111525,,41.77,"1,5",,,,,1960.0,,,Zentralheizung,Fernwärme,,Bedarfsausweis,,Vonovia SE . Postfach 44784 Bochum,"Seegefelder Straße 126, 13583 Berlin, Spandau (Spandau)",Seegefelder Straße,13583 Berlin,Spandau (Spandau),126,Spandau,8.899928178118266,Seegefelder Straße,Span,W,126,U,mittel *,D,Spandau
241,Perfekt für Singles! Attraktive 1-Zimmer-Wohnung mit Balkon!,https://www.immobilienscout24.de/expose/115573592,371.75,87.0,55.0,513.75,111525,,41.77,"1,5",,,,,1960.0,,,Zentralheizung,Fernwärme,,Bedarfsausweis,,Vonovia SE . Postfach 44784 Bochum,"Seegefelder Straße 126, 13583 Berlin, Spandau (Spandau)",Seegefelder Straße,13583 Berlin,Spandau (Spandau),126,Spandau,8.899928178118266,Seegefelder Straße,Span,W,126,G,mittel *,D,Spandau
242,Möblierte Luxuswohnung zwischen Brandenburger Tor und Friedrichstraße!!!,https://www.immobilienscout24.de/expose/115575175,2225.0,263.0,0.0,2488.0,6600,3 von 6,90.0,"2,5",,2.0,True,True,2014.0,,Vollständig renoviert,Zentralheizung,,,,,L & Partner Immobilien Zinzendorfstrasse 6 10555 Berlin,"Glinkastraße 42, 10117 Berlin, Mitte (Mitte)",Glinkastraße,10117 Berlin,Mitte (Mitte),42,Mitte,24.72222222222222,Glinkastraße,Mitt,O,42,U,gut *,Z,Mitte
243,Möblierte Luxuswohnung zwischen Brandenburger Tor und Friedrichstraße!!!,https://www.immobilienscout24.de/expose/115575175,2225.0,263.0,0.0,2488.0,6600,3 von 6,90.0,"2,5",,2.0,True,True,2014.0,,Vollständig renoviert,Zentralheizung,,,,,L & Partner Immobilien Zinzendorfstrasse 6 10555 Berlin,"Glinkastraße 42, 10117 Berlin, Mitte (Mitte)",Glinkastraße,10117 Berlin,Mitte (Mitte),42,Mitte,24.72222222222222,Glinkastraße,Mitt,O,42,G,gut *,Z,Mitte
244,Wir modernisieren für Sie**Nahe Tegeler See**auf Wunsch mit Kleingarten,https://www.immobilienscout24.de/expose/115558360,403.21,178.19,0.0,581.4,Kaution: 1209.00,0,41.22,"1,5",,,,,1936.0,,Modernisiert,Fernwärme,,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Kamener Weg 1, 13507 Berlin, Tegel (Reinickendorf)",Kamener Weg,13507 Berlin,Tegel (Reinickendorf),1,Reinickendorf,9.78190198932557,Kamener Weg,Rein,W,1,U,mittel *,D,Reinickendorf
245,Helle 2-Zimmer Wohnung mit Einbauküche für Singles oder Paare in Berlin-Reinickendorf,https://www.immobilienscout24.de/expose/115561349,596.27,150.0,,746.27,3 Nettokaltmieten,3,63.5,2,,,,True,,,,Etagenheizung,Gas,liegt zur Besichtigung vor,,,,"Residenzstraße 132a, 13409 Berlin, Reinickendorf (Reinickendorf)",Residenzstraße,13409 Berlin,Reinickendorf (Reinickendorf),132,Reinickendorf,9.39007874015748,Residenzstraße,Rein,W,132,F,einfach *,Z,Reinickendorf
246,"Schöne zwei Zimmer Wohnung in Berlin, Karlshorst (Lichtenberg)",https://www.immobilienscout24.de/expose/115562611,380.0,172.0,0.0,552.0,Germany,,55.0,2,,1.0,,,,,Vollständig renoviert,Gas-Heizung,Gas,liegt zur Besichtigung vor,,,,"Treskowallee 34, 10318 Berlin, Karlshorst (Lichtenberg)",Treskowallee,10318 Berlin,Karlshorst (Lichtenberg),34,Lichtenberg,6.909090909090909,Treskowallee,Lich,O,34,U,mittel *,D,Lichtenberg
247,"Schöne zwei Zimmer Wohnung in Berlin, Karlshorst (Lichtenberg)",https://www.immobilienscout24.de/expose/115562611,380.0,172.0,0.0,552.0,Germany,,55.0,2,,1.0,,,,,Vollständig renoviert,Gas-Heizung,Gas,liegt zur Besichtigung vor,,,,"Treskowallee 34, 10318 Berlin, Karlshorst (Lichtenberg)",Treskowallee,10318 Berlin,Karlshorst (Lichtenberg),34,Lichtenberg,6.909090909090909,Treskowallee,Lich,O,34,G,gut *,D,Lichtenberg
248,Luisenpark - 2 Zimmer mit großem Wohnbereich und Einbauküche,https://www.immobilienscout24.de/expose/115547877,1199.0,255.0,0.0,1454.0,3597.00,1 von 6,64.5,2,,,True,True,2019.0,,Erstbezug,Fußbodenheizung,Fernwärme,,Bedarfsausweis,,STRATEGIS AG Torstraße 49 10119 Berlin,"Stallschreiberstraße 32A, 10179 Berlin, Mitte (Mitte)",Stallschreiberstraße,10179 Berlin,Mitte (Mitte),32,Mitte,18.589147286821706,Stallschreiberstraße,Mitt,O,32,F,gut,Z,Mitte
249,"Erstbezug: Schöne 3-Zimmer-Dachgeschosswohnung mit Loggia in Reinickendorf, Berlin",https://www.immobilienscout24.de/expose/115551941,995.0,115.0,0.0,1175.0,2985,4 von 4,90.22,3,2.0,1.0,,,1910.0,2019.0,Erstbezug,Zentralheizung,Gas,liegt zur Besichtigung vor,,,,"Letteallee 94, 13409 Berlin, Reinickendorf (Reinickendorf)",Letteallee,13409 Berlin,Reinickendorf (Reinickendorf),94,Reinickendorf,11.02859676346708,Letteallee,Rein,W,94,U,einfach *,Z,Reinickendorf
250,"Erstbezug: Schöne 3-Zimmer-Dachgeschosswohnung mit Loggia in Reinickendorf, Berlin",https://www.immobilienscout24.de/expose/115551941,995.0,115.0,0.0,1175.0,2985,4 von 4,90.22,3,2.0,1.0,,,1910.0,2019.0,Erstbezug,Zentralheizung,Gas,liegt zur Besichtigung vor,,,,"Letteallee 94, 13409 Berlin, Reinickendorf (Reinickendorf)",Letteallee,13409 Berlin,Reinickendorf (Reinickendorf),94,Reinickendorf,11.02859676346708,Letteallee,Rein,W,94,G,einfach *,Z,Reinickendorf
251,"Dachgeschosswohnung in absoluter Toplage, nahe Jannowitzbrücke - BT So. 02.02. 10.00 Uhr",https://www.immobilienscout24.de/expose/115552285,1290.0,166.0,,1456.0,2985,5 von 5,103.0,3,1.0,1.0,,,1900.0,,Neuwertig,Etagenheizung,,liegt vor,Verbrauchsausweis,,Kühle Immobilien GbR Holsteinische Straße 8 10717 Berlin,"Brückenstraße 13, 10179 Berlin, Mitte (Mitte)",Brückenstraße,10179 Berlin,Mitte (Mitte),13,Mitte,12.524271844660195,Brückenstraße,Mitt,O,13,F,mittel*,Z,Mitte
252,Neue moderne 2-Zimmer- Dachgeschoss Wohnung,https://www.immobilienscout24.de/expose/115539813,750.0,81.0,81.0,912.0,2250,4 von 4,62.53,2,1.0,1.0,True,True,2017.0,2017.0,Neuwertig,Fußbodenheizung,,liegt zur Besichtigung vor,,,Condominia Hausverwaltung Berlin UG Am Friedrichshain 22 10407 Berlin,"Dietzgenstraße 105a, 13158 Berlin, Rosenthal (Pankow)",Dietzgenstraße,13158 Berlin,Rosenthal (Pankow),105,Pankow,11.994242763473533,Dietzgenstraße,Pank,O,105,U,mittel *,D,Pankow
253,Hochwertige Maisonette Wohnung am Brandenburger Tor!,https://www.immobilienscout24.de/expose/115539693,2055.65,549.22,235.38,2840.25,3 Nettokaltmieten,6 von 7,157.0,"2,5",1.0,1.0,True,True,2001.0,,Saniert,,Erdgas schwer,liegt vor,Verbrauchsausweis,,Mittelpunkt Immobilien Consult GmbH Scharnweberstr. 2 13405 Berlin,"Unter den Linden 74, 10117 Berlin, Mitte (Mitte)",Unter den Linden,10117 Berlin,Mitte (Mitte),74,Mitte,13.09331210191083,Unter den Linden,Mitt,O,74,G,gut *,Z,Mitte
254,"1.116 €, 68 m², 1,5 Zimmer",https://www.immobilienscout24.de/expose/115527459,1116.0,,0.0,1400.0,Kaution: 1631.00,,68.0,"1,5",,,True,True,,,,,,,,,Hohenzollernstraße 29 80801 München,"Unter den Linden 74, 10117 Berlin, Mitte (Mitte)",Unter den Linden,10117 Berlin,Mitte (Mitte),74,Mitte,16.41176470588235,Unter den Linden,Mitt,O,74,G,gut *,Z,Mitte
255,Wohnen am Prachtboulevard Unter den Linden in ruhiger Lage!,https://www.immobilienscout24.de/expose/115403379,2775.08,1222.5,0.0,3997.58,3 Nettokaltmieten,6 von 7,244.5,3,2.0,2.0,True,True,2001.0,,Saniert,,Erdgas schwer,liegt vor,Verbrauchsausweis,,Mittelpunkt Immobilien Consult GmbH Scharnweberstr. 2 13405 Berlin,"Unter den Linden 74, 10117 Berlin, Mitte (Mitte)",Unter den Linden,10117 Berlin,Mitte (Mitte),74,Mitte,11.35002044989775,Unter den Linden,Mitt,O,74,G,gut *,Z,Mitte
256,"Traumhafter Ausblick ins Grüne! Einbauküche, Parkett und Fußbodenheizung!",https://www.immobilienscout24.de/expose/115535266,589.0,172.0,0.0,761.0,Kaution: 1767.00,0,49.37,"1,5",,,True,True,1998.0,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Guyotstraße 26, 13127 Berlin, Französisch Buchholz (Pankow)",Guyotstraße,13127 Berlin,Französisch Buchholz (Pankow),26,Pankow,11.930322057929917,Guyotstraße,Pank,O,26,U,mittel,D,Pankow
257,"Traumhafter Ausblick ins Grüne! Einbauküche, Parkett und Fußbodenheizung!",https://www.immobilienscout24.de/expose/115535266,589.0,172.0,0.0,761.0,Kaution: 1767.00,0,49.37,"1,5",,,True,True,1998.0,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Guyotstraße 26, 13127 Berlin, Französisch Buchholz (Pankow)",Guyotstraße,13127 Berlin,Französisch Buchholz (Pankow),26,Pankow,11.930322057929917,Guyotstraße,Pank,O,26,G,mittel,D,Pankow
258,1-Zimmer-Wohnung mit EBK und Waschmaschine,https://www.immobilienscout24.de/expose/115537151,586.0,102.0,0.0,688.0,Kaution: 1797.00,15 von 18,30.0,1,,1.0,True,True,,,,,,,,,,"Einbecker Straße 101, 10315 Berlin, Friedrichsfelde (Lichtenberg)",Einbecker Straße,10315 Berlin,Friedrichsfelde (Lichtenberg),101,Lichtenberg,19.533333333333335,Einbecker Straße,Lich,O,101,G,mittel,D,Lichtenberg
259,1-Zimmer-Wohnung mit EBK und Waschmaschine,https://www.immobilienscout24.de/expose/115537151,586.0,102.0,0.0,688.0,Kaution: 1797.00,15 von 18,30.0,1,,1.0,True,True,,,,,,,,,,"Einbecker Straße 101, 10315 Berlin, Friedrichsfelde (Lichtenberg)",Einbecker Straße,10315 Berlin,Friedrichsfelde (Lichtenberg),101,Lichtenberg,19.533333333333335,Einbecker Straße,Lich,O,101,U,mittel,D,Lichtenberg
260,++Grundsolide 3-Zimmer EG-Wohnung Nahe S-Bahhof Stresow++,https://www.immobilienscout24.de/expose/115539549,548.0,199.0,0.0,747.0,1644.00,0,78.0,3,1.0,,,,1908.0,,Gepflegt,Zentralheizung,Gas,,Verbrauchsausweis,113.0,domega immobilien & marketing gmbh Bundesallee 66 12161 Berlin,"Schürstraße 13, 13597 Berlin, Spandau (Spandau)",Schürstraße,13597 Berlin,Spandau (Spandau),13,Spandau,7.0256410256410255,Schürstraße,Span,W,13,F,einfach,Z,Spandau
261,***LUXUS- SINGLE-APARTMENT IM ZWEITBEZUG NACH SANIERUNG MIT KLEINER HIGHLIGHTKÜCHE***,https://www.immobilienscout24.de/expose/115526840,450.0,110.0,0.0,560.0,3 Nettokaltmieten,1 von 3,35.0,1,,,,True,1963.0,,Vollständig renoviert,,Öl,liegt vor,Verbrauchsausweis,,GERMANIA LIEGENSCHAFTEN Inh. Miriam Muth Pariser Straße 59 10719 Berlin,"Pankower Allee 75a, 13409 Berlin, Reinickendorf (Reinickendorf)",Pankower Allee,13409 Berlin,Reinickendorf (Reinickendorf),75,Reinickendorf,12.857142857142858,Pankower Allee,Rein,W,75,G,einfach *,Z,Reinickendorf
262,***LUXUS- SINGLE-APARTMENT IM ZWEITBEZUG NACH SANIERUNG MIT KLEINER HIGHLIGHTKÜCHE***,https://www.immobilienscout24.de/expose/115526840,450.0,110.0,0.0,560.0,3 Nettokaltmieten,1 von 3,35.0,1,,,,True,1963.0,,Vollständig renoviert,,Öl,liegt vor,Verbrauchsausweis,,GERMANIA LIEGENSCHAFTEN Inh. Miriam Muth Pariser Straße 59 10719 Berlin,"Pankower Allee 75a, 13409 Berlin, Reinickendorf (Reinickendorf)",Pankower Allee,13409 Berlin,Reinickendorf (Reinickendorf),75,Reinickendorf,12.857142857142858,Pankower Allee,Rein,W,75,U,einfach,Z,Reinickendorf
263,"Dachgeschosswohnung im sanierten Altbau! 3 Zimmer, Bad, Küche und große Terrasse (VH DG links)",https://www.immobilienscout24.de/expose/115514645,1164.02,140.0,0.0,1304.02,3492.06,4 von 4,105.82,3,2.0,1.0,,True,1896.0,,Saniert,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,122.0,LI.VE Immobilien Knesebeckstr. 98 a 10623 Berlin,"Adamstraße 49, 13595 Berlin, Spandau (Spandau)",Adamstraße,13595 Berlin,Spandau (Spandau),49,Spandau,11.0,Adamstraße,Span,W,49,F,einfach *,Z,Spandau
264,Traumhafte 3-Zimmer-Wohnung mit Balkon im Ludwigpark Buch,https://www.immobilienscout24.de/expose/115525400,754.5,292.9,0.0,1047.4,3 Nettokaltmieten,,88.77,3,,,,True,1908.0,,Gepflegt,,Gas,liegt vor,Bedarfsausweis,,Trialog GmbH Karl-Marx-Allee 90a 10243 Berlin,"Zepernicker Straße 2 Haus 8, 13125 Berlin-Buch, Buch (Pankow)",Zepernicker Straße,13125 Berlin-Buch,Buch (Pankow),2,Pankow,8.499493071983778,Zepernicker Straße,Pank,O,2,F,einfach *,D,Pankow
265,"Moderne, zentrale 3 Zimmerwohnung mit Loggia und Balkon",https://www.immobilienscout24.de/expose/115506236,1218.61,175.0,0.0,1455.61,3 Nettokaltmieten,3,79.44,3,2.0,1.0,True,,2016.0,,,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Hausverwaltung Optima GmbH Straße der Pariser Kommune 38 10243 Berlin,"Chausseestraße 60a, 10115 Berlin, Mitte (Mitte)",Chausseestraße,10115 Berlin,Mitte (Mitte),60,Mitte,15.340005035246726,Chausseestraße,Mitt,O,60,F,mittel *,Z,Mitte
266,"Exklusive, moderne 3-Zimmerwohnung in zentraler Lage",https://www.immobilienscout24.de/expose/114420211,1529.85,209.0,0.0,1814.85,3 Nettokaltmieten,6 von 7,98.7,3,2.0,1.0,True,True,2016.0,,,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Hausverwaltung Optima GmbH Straße der Pariser Kommune 38 10243 Berlin,"Chausseestraße 60a, 10115 Berlin, Mitte (Mitte)",Chausseestraße,10115 Berlin,Mitte (Mitte),60,Mitte,15.499999999999998,Chausseestraße,Mitt,O,60,F,mittel *,Z,Mitte
267,"Exklusive, moderne 3-Zimmerwohnung! Sofern gewünscht mit EBK",https://www.immobilienscout24.de/expose/112796773,1303.65,190.0,0.0,1561.65,3 Nettokaltmieten,4 von 7,86.91,3,2.0,2.0,True,,2016.0,,,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Hausverwaltung Optima GmbH Straße der Pariser Kommune 38 10243 Berlin,"Chausseestraße 60, 10115 Berlin, Mitte (Mitte)",Chausseestraße,10115 Berlin,Mitte (Mitte),60,Mitte,15.000000000000002,Chausseestraße,Mitt,O,60,F,mittel *,Z,Mitte
268,Erstbezug nach Sanierung - 2-Zimmer-Wohnung mit EBK in Mitte,https://www.immobilienscout24.de/expose/115505418,900.0,112.0,60.0,1072.0,2700.00,0 von 4,56.73,2,1.0,1.0,,True,,2019.0,Erstbezug nach Sanierung,Zentralheizung,,laut Gesetz nicht erforderlich,,,Albrecht Gebrüder & Co. Berlin GmbH Friedrichstraße 134 10117 Berlin,"Marienstraße 12, 10117 Berlin, Mitte (Mitte)",Marienstraße,10117 Berlin,Mitte (Mitte),12,Mitte,15.864621893178214,Marienstraße,Mitt,O,12,F,gut,Z,Mitte
269,"Exklusive, Hinterhaus/ Hofgebäde/Wohnung mit EBK in Waidmannslust , Berlin",https://www.immobilienscout24.de/expose/115495180,1300.0,175.0,,1475.0,3900,1 von 2,103.0,4,,1.0,,True,1912.0,,Gepflegt,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,,,"Waidmannsluster Damm 172, 13469 Berlin, Waidmannslust (Reinickendorf)",Waidmannsluster Damm,13469 Berlin,Waidmannslust (Reinickendorf),172,Reinickendorf,12.62135922330097,Waidmannsluster Damm,Rein,W,172,U,mittel *,D,Reinickendorf
270,"Exklusive, Hinterhaus/ Hofgebäde/Wohnung mit EBK in Waidmannslust , Berlin",https://www.immobilienscout24.de/expose/115495180,1300.0,175.0,,1475.0,3900,1 von 2,103.0,4,,1.0,,True,1912.0,,Gepflegt,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,,,"Waidmannsluster Damm 172, 13469 Berlin, Waidmannslust (Reinickendorf)",Waidmannsluster Damm,13469 Berlin,Waidmannslust (Reinickendorf),172,Reinickendorf,12.62135922330097,Waidmannsluster Damm,Rein,W,172,G,mittel *,D,Reinickendorf
271,Schöne Singlewohung mit Wintergarten und Aufzug!,https://www.immobilienscout24.de/expose/115483057,499.0,96.0,0.0,595.0,Kaution: 1497.00,1,36.93,1,,,True,,1979.0,,Gepflegt,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Alt-Friedrichsfelde 73, 10315 Berlin, Friedrichsfelde (Lichtenberg)",Alt-Friedrichsfelde,10315 Berlin,Friedrichsfelde (Lichtenberg),73,Lichtenberg,13.512049823991335,Alt-Friedrichsfelde,Lich,O,73,F,einfach *,D,Lichtenberg
272,Ein kleines Königreich. Erstbezug.,https://www.immobilienscout24.de/expose/115462135,540.08,67.51,36.26,643.85,162024,,33.76,"1,5",,,True,True,2020.0,,Erstbezug,,Fernwärme,,Bedarfsausweis,,BUWOG Immobilien Treuhand GmbH Rankestraße 21 10789 Berlin,"Löwenberger Straße 7, 10315 Berlin, Friedrichsfelde (Lichtenberg)",Löwenberger Straße,10315 Berlin,Friedrichsfelde (Lichtenberg),7,Lichtenberg,15.997630331753557,Löwenberger Straße,Lich,O,7,U,einfach,D,Lichtenberg
273,Erstbezug mit großem Balkon.,https://www.immobilienscout24.de/expose/114811741,740.45,100.4,55.61,896.46,222135,,50.2,2,,,True,True,2020.0,,Erstbezug,,Fernwärme,,Bedarfsausweis,,BUWOG Immobilien Treuhand GmbH Rankestraße 21 10789 Berlin,"Löwenberger Straße 7, 10315 Berlin, Friedrichsfelde (Lichtenberg)",Löwenberger Straße,10315 Berlin,Friedrichsfelde (Lichtenberg),7,Lichtenberg,14.75,Löwenberger Straße,Lich,O,7,U,einfach,D,Lichtenberg
